X,Y
0,2.369198804
0.1,2.745937541
0.2,2.721614728
0.3,2.977712511
0.4,2.622646622
0.5,2.529696345
0.6,2.481101274
0.7,3.239290037
0.8,2.748172822
0.9,3.008200533
1,3.251496147
1.1,3.010889509
1.2,3.50859945
1.3,3.43844196
1.4,3.195768636
1.5,3.918556338
1.6,3.332755127
1.7,3.624648724
1.8,3.669386744
1.9,4.06740636
2,3.735736332
2.1,4.160536578
2.2,3.974430916
2.3,4.099715029
2.4,4.893294312
2.5,4.525570351
2.6,4.96647797
2.7,5.460238641
2.8,5.065218948
2.9,5.468573902
3,5.677305498
3.1,5.501660681
3.2,5.878890987
3.3,5.492223995
3.4,6.480149376
3.5,5.902763043
3.6,6.155537941
3.7,6.866547049
3.8,6.741140506
3.9,7.212943541
4,7.036240591
4.1,7.115397867
4.2,7.088077609
4.3,7.938868026
4.4,7.916407214
4.5,8.166590296
4.6,8.559660424
4.7,8.251314105
4.8,8.757203072
4.9,9.471192413
5,9.65981113
